airspeed,drone_mass,payload_mass,battery_mass,induced_speed_payload,thrust_payload,epm_payload,flight_range_payload,power_payload,induced_speed_no_payload,thrust_no_payload,epm_no_payload,flight_range_no_payload,power_no_payload,epm_3
21.5,7,7,10,5.468929202091235,391.9774910625,452.6376782769165,11.930071797284992,9731.710082953705,3.8951357044008805,265.462764875,261.96254985208657,20.61363352528456,5632.194821819861,357.30011406450154
22.0,7,7,10,5.449152703301587,399.346353,467.42151661988277,11.552741600450105,10283.27336563742,3.874535318913896,270.108902,271.3219715448037,19.90255329951519,5969.083373985682,369.37174408234324
22.5,7,7,10,5.432374217067764,406.8846140625,482.66606767566225,11.18785918803939,10859.9865227024,3.8562688874882864,274.86184687499997,280.9809161545351,19.21838704885596,6322.070613477041,381.82349191509866
23.0,7,7,10,5.418443742840468,414.59227425,498.34338562596594,10.835901821425992,11461.897869397217,3.8402073859211163,279.7215995,290.9229352853483,18.561616651858248,6691.227511563011,394.6331604556571
23.5,7,7,10,5.407217348777686,422.46933356249997,514.4269721199852,10.49711677781254,12089.033844819653,3.8262301838035664,284.688159875,301.13216508881993,17.93232549039473,7076.605879587268,407.7795686044026
24.0,7,7,10,5.398562565083212,430.51579200000003,530.8919735697161,10.171560823740498,12741.407365673187,3.8142244320640213,289.761528,311.5933670167067,17.33027904830358,7478.24080840096,421.2426702932114
24.5,7,7,10,5.3923494607173,438.7316495625,547.7150018750974,9.859142038310342,13419.017545939887,3.8040844907265443,294.94170387500003,322.291970166348,16.754993918132183,7896.153269075526,435.0034860207227
25.0,7,7,10,5.3884562190621965,447.11690625,564.8743160597874,9.559648662497258,14121.857901494683,3.7957113979732324,300.2286875,333.2141121967163,16.205796220335518,8330.352804917908,449.04421412825184
25.5,7,7,10,5.386767345056082,455.6715620625,582.349800139818,9.27277728729966,14849.919903565358,3.7890123800828652,305.622478875,344.34667637081395,15.681870540794602,8780.840247455755,463.34823825531595
26.0,7,7,10,5.387173374183335,464.395617,600.1229643931792,8.998155912030908,15603.19707422266,3.7839004007852832,311.12307799999996,355.67732284891406,15.182300509762417,9247.610394071766,477.90014362104665
26.5,7,7,10,5.389570588327597,473.2890710625,618.1769313269789,8.735363172495546,16381.688680164942,3.780293747903478,316.730484875,367.19451289982425,14.706102107449505,9730.654591845343,492.68572211340154
27.0,7,7,10,5.393860740372329,482.35192425,636.4964069326347,8.483944200130454,17185.402987181136,3.778115654761813,322.4446995,378.88752519872975,14.252250709937345,10229.963180365703,507.6919660656822
27.5,7,7,10,5.399950788534219,491.58417656250003,655.0676383759175,8.243423554532475,18014.36005533773,3.777293953648153,328.265721875,390.74646382810363,13.819702799346528,10745.52775527285,522.9070511020105
28.0,7,7,10,5.407752640818275,500.985828,673.8783596713477,8.013315641466207,18868.594070797735,3.777760758574306,334.193552,402.7622579840117,13.407413164851118,11277.343223552327,538.3203088276797
28.5,7,7,10,5.417182909608785,510.5568785625,692.9177271506123,7.793132991712676,19748.15522379245,3.7794521746396645,340.228189875,414.92665370908895,13.014348323320819,11825.409630709035,553.9221904298506
29.0,7,7,10,5.4281626761933675,520.29732825,712.176246668651,7.582392736713134,20653.111153390877,3.7823080314338378,346.3696355,427.2321982242882,12.63949679458642,12389.733748504357,569.7042224464695
29.5,7,7,10,5.440617264908409,530.2071770625,731.6456945183486,7.380621577435629,21583.547988291284,3.786271638089155,352.617888875,439.67221761619663,12.281876779200603,12970.3304196778,585.6589560672726
30.0,7,7,10,5.454476026555494,540.286425,751.3190339662686,7.187359504913647,22539.57101898806,3.7912895577936028,358.97294999999997,452.2407887598963,11.940541707455248,13567.223662796889,601.7799113630824
